100 2460
22 54 76
22 60 15
22 61 5
22 70 73
22 72 61
22 76 24
22 77 86
22 78 57
22 80 15
22 82 39
22 84 97
22 86 22
22 89 38
22 91 29
22 94 96
22 95 28
22 96 30
22 98 76
22 99 33
23 24 7
23 25 55
23 26 3
23 27 3
23 28 66
23 30 43
23 31 34
23 32 26
23 33 54
23 36 60
23 37 91
23 38 64
23 43 98
23 44 65
23 51 1
23 54 76
23 59 88
23 60 57
23 62 51
23 65 93
23 66 91
23 67 2
23 69 57
23 70 43
23 71 17
23 75 99
23 76 37
23 77 70
23 79 26
23 80 94
23 81 60
23 84 18
23 86 32
23 87 27
23 88 60
23 89 50
23 90 31
23 91 34
23 94 65
23 95 66
23 97 19
23 100 62
24 25 86
24 26 42
24 29 25
24 30 96
24 31 65
24 35 83
24 37 28
24 40 14
24 41 42
24 42 97
24 43 37
24 44 5
24 45 47
24 46 6
24 47 74
24 53 37
24 56 24
24 57 45
24 59 41
24 60 2
24 61 7
24 65 89
24 69 78
24 70 8
24 71 92
24 72 28
24 73 8
24 80 5
24 82 29
24 83 46
24 87 48
24 88 41
24 89 44
24 91 24
24 93 7
24 94 34
24 95 81
24 98 73
24 100 2
25 26 49
25 27 73
25 28 1
25 33 9
25 35 4
25 36 70
25 38 4
25 39 50
25 40 35
25 41 98
25 45 12
25 50 72
25 52 11
25 56 40
25 58 74
25 59 40
25 60 33
25 61 35
25 62 68
25 63 9
25 64 97
25 66 1
25 67 91
25 69 57
25 70 31
25 73 17
25 76 22
25 77 75
25 81 11
25 85 15
25 89 8
25 92 91
25 93 21
25 94 91
25 95 10
25 96 52
25 98 17
25 99 3
25 100 47
26 27 80
26 29 95
26 33 25
26 35 1
26 37 50
26 40 98
26 43 36
26 47 99
26 49 16
26 52 47
26 53 1
26 55 37
26 58 33
26 61 61
26 62 15
26 63 28
26 64 98
26 66 22
26 69 84
26 71 61
26 72 39
26 73 26
26 74 3
26 75 74
26 77 36
26 80 30
26 82 11
26 85 6
26 87 58
26 89 8
26 93 56
26 94 1
26 96 94
26 98 94
26 99 77
27 28 29
27 29 28
27 32 19
27 33 65
27 34 76
27 35 69
27 38 11
27 40 37
27 41 2
27 42 55
27 43 4
27 44 50
27 46 43
27 48 34
27 49 84
27 51 60
27 53 76
27 55 80
27 56 81
27 58 93
27 60 45
27 61 90
27 66 47
27 70 19
27 73 30
27 75 92
27 76 28
27 77 26
27 81 94
27 85 91
27 86 30
27 88 73
27 92 21
27 94 95
27 95 40
27 97 29
28 32 29
28 33 86
28 35 38
28 37 67
28 42 86
28 49 99
28 51 61
28 52 25
28 54 35
28 55 54
28 57 100
28 58 12
28 59 41
28 60 79
28 63 81
28 64 79
28 66 56
28 68 8
28 70 83
28 73 81
28 77 62
28 79 14
28 80 3
28 81 47
28 83 15
28 86 81
28 90 14
28 91 56
28 93 63
28 96 84
28 99 99
28 100 29
29 30 98
29 32 51
29 37 53
29 39 61
29 42 73
29 43 88
29 44 67
29 47 56
29 48 72
29 49 99
29 50 93
29 54 92
29 56 91
29 58 17
29 59 14
29 61 36
29 63 99
29 64 3
29 65 41
29 66 1
29 69 34
29 72 57
29 75 65
29 79 48
29 80 50
29 83 75
29 86 34
29 87 23
29 90 27
29 91 63
29 92 92
29 93 14
29 94 48
29 95 7
29 97 61
29 100 43
30 31 3
30 34 82
30 35 73
30 37 79
30 42 13
30 43 91
30 44 1
30 46 40
30 47 100
30 48 69
30 53 71
30 54 99
30 55 17
30 56 95
30 57 43
30 58 69
30 59 46
30 60 21
30 61 38
30 62 84
30 63 86
30 65 37
30 67 73
30 68 29
30 69 22
30 71 50
30 72 4
30 73 59
30 74 41
30 76 39
30 79 10
30 80 72
30 83 6
30 85 87
30 87 31
30 89 58
30 90 92
30 97 57
30 99 19
31 33 34
31 34 83
31 35 89
31 37 77
31 38 89
31 41 8
31 42 92
31 44 15
31 48 44
31 49 53
31 50 19
31 51 95
31 54 87
31 55 51
31 58 38
31 59 2
31 62 19
31 68 76
31 70 14
31 71 8
31 72 27
31 74 48
31 75 76
31 78 81
31 79 38
31 80 32
31 82 48
31 84 74
31 85 58
31 86 61
31 87 90
31 91 46
31 92 70
31 94 16
31 95 60
31 97 77
31 100 20
32 33 13
32 37 26
32 39 26
32 41 22
32 42 24
32 45 72
32 46 19
32 47 29
32 49 16
32 57 34
32 59 87
32 61 40
32 63 25
32 65 1
32 66 4
32 69 31
32 70 25
32 71 79
32 72 47
32 81 23
32 85 92
32 88 60
32 90 73
32 92 50
32 95 67
32 98 79
32 99 45
33 35 44
33 37 9
33 39 85
33 40 65
33 41 87
33 42 48
33 43 9
33 44 97
33 46 51
33 48 86
33 49 41
33 51 89
33 52 92
33 53 91
33 56 31
33 58 21
33 61 70
33 71 84
33 72 45
33 74 84
33 77 22
33 80 37
33 83 41
33 86 28
33 89 39
33 90 40
33 91 34
33 95 3
33 96 50
34 40 22
34 41 34
34 42 34
34 44 21
34 45 52
34 48 49
34 49 3
34 50 98
34 51 71
34 52 22
34 54 88
34 56 51
34 62 18
34 63 80
34 64 59
34 67 10
34 69 3
34 70 21
34 72 9
34 73 25
34 75 27
34 78 55
34 81 85
34 83 35
34 84 36
34 87 48
34 91 85
34 94 11
34 95 56
34 96 22
34 97 12
34 99 17
34 100 4
35 36 89
35 37 41
35 38 22
35 39 35
35 40 61
35 43 66
35 46 68
35 47 10
35 50 5
35 52 6
35 53 66
35 55 28
35 61 43
35 63 46
35 64 98
35 67 20
35 69 90
35 70 34
35 71 7
35 72 13
35 75 82
35 76 96
35 77 35
35 81 60
35 82 15
35 83 89
35 86 11
35 90 37
35 93 32
35 96 99
35 98 26
35 99 45
36 38 65
36 40 29
36 42 90
36 43 36
36 46 42
36 47 27
36 50 79
36 52 99
36 54 76
36 55 39
36 56 72
36 57 64
36 58 71
36 63 83
36 64 8
36 68 87
36 70 4
36 71 10
36 72 39
36 73 94
36 74 87
36 77 92
36 81 40
36 82 89
36 85 60
36 86 32
36 89 85
36 92 41
36 95 7
36 99 28
37 38 95
37 39 60
37 40 40
37 41 14
37 44 77
37 46 19
37 48 11
37 49 42
37 50 63
37 51 95
37 52 13
37 58 33
37 59 68
37 62 74
37 64 60
37 66 17
37 71 37
37 73 53
37 74 20
37 76 95
37 79 67
37 80 59
37 81 90
37 82 84
37 83 96
37 84 84
37 90 21
37 91 93
37 92 28
37 93 6
37 94 59
37 95 17
37 97 65
37 100 87
38 45 60
38 46 40
38 47 25
38 48 45
38 51 22
38 54 76
38 55 3
38 58 61
38 59 70
38 60 58
38 62 40
38 63 67
38 64 99
38 68 20
38 69 73
38 70 74
38 71 39
38 74 45
38 76 88
38 78 52
38 79 80
38 80 8
38 83 57
38 87 28
38 88 35
38 89 1
38 91 6
38 93 1
38 95 86
38 98 22
39 41 41
39 43 53
39 45 18
39 48 60
39 55 14
39 57 32
39 59 21
39 66 89
39 67 14
39 70 33
39 72 23
39 73 54
39 74 29
39 75 9
39 76 78
39 77 36
39 78 99
39 79 14
39 80 82
39 81 21
39 82 44
39 87 71
39 91 4
39 92 22
39 95 49
39 96 91
39 99 28
40 41 15
40 44 15
40 49 8
40 51 60
40 54 26
40 55 97
40 56 87
40 57 35
40 58 47
40 59 47
40 62 92
40 64 2
40 65 40
40 66 81
40 67 61
40 68 52
40 69 58
40 71 74
40 72 24
40 73 17
40 74 48
40 77 30
40 83 59
40 84 70
40 85 82
40 86 85
40 88 18
40 89 23
40 91 25
40 94 18
40 95 51
40 96 59
40 98 76
40 99 8
40 100 26
41 44 94
41 47 3
41 51 54
41 54 86
41 55 76
41 56 9
41 57 33
41 58 57
41 59 32
41 60 6
41 62 72
41 65 58
41 67 72
41 69 51
41 70 2
41 79 92
41 81 27
41 82 25
41 85 39
41 88 8
41 89 99
41 90 77
41 91 94
41 92 2
41 94 32
41 95 90
41 96 27
41 97 65
41 98 76
42 46 2
42 47 5
42 49 8
42 50 88
42 53 87
42 55 87
42 57 53
42 58 51
42 60 68
42 61 35
42 65 45
42 74 55
42 75 60
42 77 58
42 78 21
42 83 10
42 84 31
42 86 79
42 88 28
42 89 35
42 90 54
42 91 68
42 92 40
42 93 8
42 95 75
42 97 65
42 99 64
42 100 17
43 45 66
43 47 55
43 48 16
43 49 60
43 50 21
43 51 31
43 56 7
43 57 71
43 58 78
43 59 71
43 60 41
43 61 56
43 63 65
43 64 98
43 65 42
43 71 83
43 72 64
43 73 17
43 74 27
43 76 88
43 77 32
43 80 70
43 84 74
43 85 76
43 90 79
43 91 19
43 92 15
43 93 80
43 95 47
43 98 2
43 99 58
43 100 44
44 48 79
44 50 26
44 51 89
44 53 87
44 54 34
44 56 22
44 59 4
44 61 65
44 63 51
44 64 80
44 65 20
44 66 26
44 68 71
44 70 53
44 71 47
44 72 100
44 75 25
44 77 19
44 81 30
44 83 76
44 84 45
44 85 86
44 87 79
44 89 73
44 90 52
44 91 18
44 93 56
44 95 21
44 96 96
44 98 22
44 99 2
45 47 63
45 49 40
45 50 32
45 51 55
45 52 1
45 54 18
45 55 93
45 56 30
45 57 84
45 59 40
45 60 62
45 61 26
45 65 46
45 66 29
45 67 4
45 70 57
45 71 35
45 72 32
45 73 89
45 77 89
45 78 55
45 80 14
45 81 79
45 83 2
45 84 79
45 85 67
45 87 45
45 89 65
45 90 62
45 93 91
45 94 42
45 95 35
45 96 50
45 97 84
45 99 57
45 100 50
46 49 55
46 50 20
46 51 16
46 53 74
46 54 11
46 57 57
46 58 31
46 61 66
46 63 93
46 65 74
46 70 12
46 71 31
46 73 50
46 75 100
46 80 34
46 83 94
46 85 22
46 87 76
46 89 39
46 96 99
46 98 4
46 100 72
47 50 36
47 54 9
47 55 69
47 58 8
47 59 77
47 60 89
47 61 48
47 62 51
47 76 85
47 79 7
47 81 55
47 83 18
47 86 93
47 89 4
47 90 78
47 91 4
47 94 22
47 96 11
47 97 13
47 99 24
47 100 56
48 53 62
48 61 26
48 62 84
48 64 93
48 67 12
48 75 34
48 80 21
48 81 35
48 82 99
48 83 65
48 84 84
48 85 25
48 87 19
48 89 94
48 91 10
48 92 98
48 94 22
48 96 65
49 50 38
49 51 95
49 52 80
49 54 90
49 55 99
49 62 22
49 64 84
49 66 1
49 67 52
49 68 55
49 69 5
49 72 1
49 76 84
49 77 5
49 80 33
49 82 78
49 83 71
49 84 44
49 85 11
49 86 88
49 87 73
49 91 20
49 92 73
49 93 35
49 94 49
49 96 40
49 97 28
50 51 54
50 52 67
50 53 34
50 54 23
50 55 38
50 58 66
50 61 65
50 64 21
50 66 92
50 68 19
50 69 77
50 72 28
50 73 44
50 74 72
50 76 87
50 77 9
50 80 100
50 81 34
50 85 39
50 86 66
50 88 96
50 89 48
50 90 16
50 95 38
50 96 39
50 97 90
50 98 17
50 100 18
51 52 100
51 54 44
51 55 16
51 59 61
51 61 69
51 66 78
51 70 41
51 71 35
51 77 67
51 83 37
51 84 86
51 85 27
51 86 25
51 87 79
51 88 35
51 90 13
51 92 63
51 93 49
51 94 25
51 97 63
51 98 87
51 100 52
52 54 87
52 56 32
52 58 25
52 59 19
52 60 15
52 61 34
52 62 71
52 63 100
52 68 39
52 69 80
52 70 53
52 71 2
52 72 82
52 79 2
52 81 81
52 82 33
52 83 77
52 85 3
52 87 28
52 90 24
52 93 46
52 95 51
52 96 13
52 97 80
52 99 19
52 100 31
53 54 73
53 55 87
53 58 56
53 59 45
53 60 77
53 63 13
53 67 30
53 68 1
53 71 23
53 73 91
53 75 61
53 80 86
53 82 90
53 83 94
53 84 74
53 85 71
53 89 94
53 91 71
53 93 10
53 97 95
53 99 44
53 100 75
54 59 48
54 61 50
54 63 3
54 72 68
54 73 26
54 74 76
54 76 54
54 78 66
54 79 30
54 80 44
54 82 37
54 83 58
54 85 16
54 87 85
54 88 96
54 90 42
54 94 90
54 96 64
54 97 62
54 99 66
54 100 41
55 60 28
55 63 18
55 64 19
55 68 62
55 72 35
55 74 41
55 76 72
55 80 12
55 81 22
55 83 39
55 88 56
55 90 47
55 91 19
55 92 68
55 93 90
55 96 39
55 97 12
55 99 99
56 58 39
56 59 61
56 60 13
56 62 94
56 65 8
56 66 5
56 68 17
56 69 77
56 70 36
56 71 55
56 72 44
56 74 51
56 76 68
56 77 6
56 78 64
56 79 87
56 80 76
56 82 89
56 83 45
56 84 27
56 87 12
56 88 19
56 90 82
56 91 45
56 93 2
56 96 58
56 100 10
57 58 48
57 60 86
57 65 89
57 66 11
57 67 45
57 70 93
57 71 72
57 73 27
57 75 84
57 76 35
57 77 54
57 78 56
57 79 83
57 80 72
57 84 70
57 85 74
57 86 9
57 87 89
57 88 98
57 89 66
57 90 47
57 91 34
57 92 76
57 95 12
57 97 79
57 100 77
58 59 89
58 60 30
58 61 8
58 62 4
58 63 16
58 65 40
58 71 39
58 74 88
58 75 16
58 77 93
58 79 99
58 80 21
58 81 34
58 82 65
58 87 95
58 88 43
58 89 36
58 90 94
58 92 22
58 93 51
58 94 88
58 95 51
58 97 99
58 98 84
58 100 28
59 61 49
59 63 94
59 65 98
59 67 3
59 69 33
59 70 53
59 71 9
59 76 2
59 77 8
59 80 49
59 83 70
59 84 17
59 86 24
59 88 49
59 89 40
59 90 46
59 91 27
59 92 69
59 93 59
59 94 24
59 96 75
59 97 50
60 64 11
60 65 96
60 66 87
60 68 21
60 70 98
60 72 55
60 73 60
60 75 71
60 77 61
60 81 5
60 83 69
60 84 66
60 86 1
60 87 53
60 88 79
60 89 32
60 92 2
60 93 25
60 95 24
60 98 45
60 99 84
61 62 62
61 64 51
61 66 43
61 67 24
61 68 85
61 70 52
61 71 36
61 75 94
61 78 42
61 79 16
61 80 85
61 81 49
61 85 38
61 89 4
61 92 25
61 93 88
61 96 76
61 98 43
61 99 95
62 64 11
62 65 79
62 66 21
62 70 48
62 72 55
62 73 83
62 75 14
62 79 76
62 83 18
62 86 27
62 89 38
62 90 62
62 94 6
62 96 27
62 98 30
62 99 57
63 64 45
63 67 32
63 68 100
63 70 83
63 71 61
63 73 25
63 75 49
63 77 30
63 78 86
63 79 73
63 81 28
63 82 4
63 88 44
63 91 38
63 92 63
63 93 7
63 94 31
63 95 62
63 96 48
63 99 73
64 70 10
64 71 98
64 72 84
64 75 92
64 77 76
64 78 2
64 79 31
64 84 17
64 86 27
64 88 41
64 90 44
64 94 17
64 95 40
64 97 83
64 99 19
65 66 22
65 67 11
65 70 96
65 71 9
65 74 15
65 75 75
65 77 17
65 79 23
65 80 66
65 86 98
65 90 22
65 93 3
65 95 33
65 98 45
65 99 53
65 100 25
66 68 26
66 70 19
66 71 65
66 72 9
66 73 41
66 75 27
66 76 4
66 77 37
66 79 5
66 80 62
66 81 6
66 86 83
66 87 71
66 88 45
66 89 96
66 92 25
66 93 70
66 94 33
66 96 22
66 97 30
66 99 16
67 69 9
67 74 61
67 75 66
67 77 57
67 78 69
67 79 71
67 82 6
67 85 15
67 86 47
67 88 14
67 90 58
67 91 55
67 92 39
67 93 82
67 94 58
67 96 91
67 98 57
67 100 5
68 69 49
68 74 72
68 75 33
68 77 16
68 79 17
68 83 57
68 84 44
68 87 100
68 91 44
68 93 79
68 95 10
68 96 36
68 99 62
69 72 44
69 73 82
69 74 100
69 75 10
69 76 96
69 78 70
69 81 36
69 85 13
69 89 36
69 90 58
69 91 35
69 92 87
69 93 46
69 94 29
69 97 85
69 100 17
70 72 39
70 73 41
70 74 5
70 77 92
70 79 35
70 80 94
70 81 29
70 82 48
70 88 45
70 94 88
70 95 57
70 97 93
70 98 38
70 99 64
71 72 45
71 73 75
71 74 17
71 77 62
71 79 47
71 81 72
71 82 48
71 83 73
71 84 28
71 86 2
71 88 44
71 89 86
71 90 58
71 92 53
71 94 82
71 97 36
71 98 96
71 100 12
72 73 65
72 76 42
72 77 89
72 78 87
72 81 54
72 82 15
72 83 19
72 84 4
72 85 32
72 87 51
72 89 94
72 91 21
72 92 34
72 93 95
72 97 23
72 98 66
72 99 28
72 100 42
73 76 35
73 78 4
73 83 98
73 87 83
73 89 86
73 93 72
73 94 85
73 96 14
73 99 89
73 100 40
74 77 10
74 78 34
74 83 45
74 85 22
74 88 30
74 94 17
74 95 5
74 96 29
74 99 31
75 76 83
75 77 26
75 78 71
75 81 14
75 82 2
75 83 87
75 85 98
75 86 19
75 89 67
75 90 55
75 91 99
75 92 98
75 94 46
75 96 79
75 100 29
76 78 79
76 81 22
76 82 83
76 83 65
76 84 43
76 85 23
76 87 60
76 91 58
76 92 16
